 ,WEEK,WEIGHT,STATE,ETRO,REGION,DIVISION,OWNHOME,MARITAL,EMPLOY,HHNUM,ADULTS,KIDS1217,KIDS611,KIDS06,PARENT,AGE,AGE2,EDUC2,EDUC,INCOME,RACE,PARTYROT,PARTY,IDEOROT,IDEO,REGIST,C3A,SEX,IDENT,L1,C1,C1A,USBORN,USLIVE,RELIG,RELIGOPEN,DENOM,DENOMOPEN,BORN,JEWID,SECULAR,JDENOM,YEAR,DEMH1,DEMNHV,DATE,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q6,Q7,Q8,I_EMPLOY,I_MARITAL,I_RACE
90000192,849,1.4832,FL,2,3,5,1,3,1,4,2,0,0,2,1,43,,6,4,12,1,1,1,1,2,1,,1,2,,2,1,,,22,,1,,2,,,,16,1,1,161208,1,2,2,2,1,0,0,0,0,0,0,0,1,1,2,1,3,1
90000194,849,0.4799,NC,1,3,5,1,5,3,1,1,,,,2,67,,3,2,5,2,1,2,1,4,1,1,1,2,,1,1,,,1,,,,2,,,,16,1,3,161208,2,1,2,2,1,0,0,0,0,0,0,0,2,2,1,3,5,2
90000195,849,1.0562,PA,5,1,2,1,3,3,1,1,,,,2,56,,1,1,4,1,1,2,2,1,1,1,2,2,,1,1,,,90,,,,,2,1,,16,1,3,161208,3,2,2,2,1,0,0,0,0,0,0,0,3,3,2,3,3,1
90000197,849,1.5469,FL,1,3,5,1,1,1,5,4,0,1,0,2,31,,6,4,12,3,1,1,2,1,1,,2,2,,2,1,1,,22,,1,,1,,,,16,1,2,161208,1,2,2,2,1,0,1,0,0,0,0,0,1,3,2,1,1,3
90000198,849,2.2443,NC,,3,5,1,3,1,3,2,1,0,0,1,40,,2,1,1,5,1,9,2,9,9,,1,2,,2,1,3,30,99,,,,,,,,16,2,,161208,4,2,1,1,1,0,0,0,0,0,0,0,2,1,1,1,3,3
90000200,849,1.722,KY,1,3,6,1,3,6,3,2,1,0,0,1,45,,5,3,5,1,1,2,1,4,2,,1,2,,2,1,,,1,,,,1,,,,16,1,3,161208,3,2,2,2,1,0,0,0,0,0,0,0,2,1,2,6,3,1
90000201,849,2.0529,DC,1,3,5,1,3,1,4,2,2,0,0,1,47,,6,4,12,1,1,3,2,5,1,,2,2,,2,1,,,15,,4,,2,,,,16,1,1,161208,1,2,2,2,1,1,0,0,0,0,0,0,1,1,1,1,3,1
90000202,849,1.1268,NJ,4,1,2,1,3,1,3,3,,,,2,48,,3,2,7,1,1,3,1,2,1,2,1,2,,1,2,,,22,,2,,1,,,,16,1,1,161208,3,2,2,2,1,0,0,0,0,0,0,0,1,2,2,1,3,1
90000203,849,1.0592,PA,1,1,2,2,1,1,1,1,,,,2,32,,6,4,4,1,1,3,2,5,2,,1,2,,2,1,,,95,,,,,2,,,16,1,1,161208,2,2,2,2,0,0,0,0,0,1,0,0,,3,1,1,1,1
90000205,849,1.4132,SC,1,3,5,2,4,2,3,1,0,1,1,1,28,,7,5,4,1,1,9,1,3,1,,2,2,,2,1,,,22,,1,,1,,,,16,1,1,161208,3,2,2,2,1,0,0,0,0,0,0,0,1,3,2,2,4,1
